en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
dysautonomia,自律神経不全,disease,病気,"any disease or malfunction, mostly of neurogenic origin, of the autonomic nervous system",神経疾患による自律神経機能低下等の総称,Q620639
long QT syndrome,QT延長症候群,disease,病気,condition involving delayed repolarization of the heart during the heartbeat cycle,,Q653924
ectopia lentis,水晶体転位,disease,病気,disorder of lens,,Q1827028
metachondromatosis,メタコンドロマトーシス,disease,病気,a rare disorder characterized by the presence of both multiple enchondromas and osteochondroma-like lesions,,Q6822414
arthritis,関節炎,disease,病気,"any of several joint disorders, some autoimmune, some infectious",,Q170990
homocystinuria,ホモシスチン尿症,disease,病気,amino acid metabolic disorder that involves an accumulation of homocysteine in the serum and an increased excretion of homocysteine in the urine,,Q994859
phenylketonuria,フェニルケトン尿症,disease,病気,"amino acid metabolic disorder that is characterized by a mutation in the gene for the hepatic enzyme phenylalanine hydroxylase (PAH), rendering it nonfunctional",,Q194041
congenital heart disease,先天性心疾患,disease,病気,cardiovascular disease,,Q939364
ciliopathy,繊毛病,disease,病気,"genetic disease associated with mutations encoding defective proteins, which result in either abnormal function formation or function of cilia",,Q203031
transmissible spongiform encephalopathy,伝達性海綿状脳症,disease,病気,group of brain diseases induced by prion proteins,,Q703961
inherited pseudoxanthoma elasticum,弾力繊維性仮性黄色腫,disease,病気,Human disease,,Q1052391
central core myopathy,セントラルコア病,disease,病気,Human disease,,Q638975
agammaglobulinemia,低ガンマグロブリン血症,disease,病気,B cell deficiency that is caused by a reduction in all types of gamma globulins,,Q1047559
Menkes disease,メンケス病,disease,病気,Human disease,,Q639203
septic arthritis,敗血症性関節炎,disease,病気,arthritis that involves infection by a pathogen located in joint syaptic,関節の細菌感染症,Q924421
anti-NMDA receptor encephalitis,抗NMDA受容体抗体脳炎,disease,病気,rare disease,急性型の脳炎,Q574719
CHARGE syndrome,CHARGE症候群,disease,病気,"syndrome that is characterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart, inner ear, and retina",先天性疾患,Q1023604
hydrocephalus,水頭症,disease,病気,disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain,脳脊髄液が頭蓋腔内に貯まり、脳室が正常より大きくなる病気,Q193003
Caroli disease,カロリ病,disease,病気,bile duct disease that is characterized by abnormal dilatation of the intrahepatic bile ducts,,Q1044327
Wiskott-Aldrich syndrome,ウィスコット・アルドリッチ症候群,disease,病気,rare disease,,Q953638
progressive supranuclear palsy,進行性核上性麻痺,disease,病気,"neurodegenerative disease characterized by supranuclear gaze palsy, postural instability, progressive rigidity, and mild dementia",,Q945930
Morquio syndrome,モルキオ症候群,disease,病気,rare disease,,Q580285
primary polydipsia,心因性多飲症,disease,病気,dry mouth and excessive fluid consumption in the absence of physiological stimuli to drink with physiological suppression of arginine-vasopressin secretion or a decrease in the sensitivity threshold of osmoreceptors (thirst center),,Q929963
Heberden's node,ヘバーデン結節,disease,病気,human disease,,Q1034711
mucopolysaccharidosis VI,ムコ多糖症VI型,disease,病気,lysosomal storage disease,,Q576109
visceral heterotaxy,内臓異位症,disease,病気,rare disease,,Q203115
Niigata Minamata disease,第二水俣病,disease,病気,Japanese outbreak of mercury poisoning,日本の公害病、有機水銀を含んだ廃液による食物連鎖で生じた中毒性中枢神経系疾患,Q996200
Seckel syndrome,セッケル症候群,disease,病気,autosomal recessive disease characterized by intrauterine growth retardation and postnatal dwarfism with microcephaly and intellectual disability,,Q572169
autoimmune thrombocytopenic purpura,特発性血小板減少性紫斑病,disease,病気,primary thrombocytopenia that involves relatively few platelets in blood as a result of autoantibodies,,Q638729
premature ovarian failure,早発卵巣不全,disease,病気,ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40,,Q647630
essential tremor,本態性振戦,disease,病気,"movement disorder causing involuntary tremors, especially in the hand",,Q693519
sensorineural hearing loss,感音難聴,disease,病気,type of Hearing Loss,,Q928697
Burkitt lymphoma,バーキットリンパ腫,disease,病気,type of cancer,悪性リンパ腫の一つ,Q1016605
corticobasal degeneration,大脳皮質基底核変性症,disease,病気,progressive neurodegenerative condition affecting the cerebral cortex and basal ganglia,,Q1755684
retinopathy of prematurity,未熟児網膜症,disease,病気,"disease of the eye affecting prematurely born babies generally having received intensive neonatal care, in which oxygen therapy is used on them due to the premature development of their lungs",,Q1423087
Klippel-Feil syndrome,頸椎癒合症,disease,病気,physical disorder that has material basis in abnormal segmentation of the vertebra during fetal development which results in fusion located in cervical vertebra,,Q1774751
monilethrix,連珠毛,disease,病気,Human disease,,Q1363508
hypertrophic cardiomyopathy,肥大型心筋症,disease,病気,disease in which the heart muscle is enlarged,,Q1364270
transposition of great vessels,大血管転位,disease,病気,"group of congenital heart defects involving an abnormal spatial arrangement of any of the great vessels: superior and/or inferior venae cavae, pulmonary artery, pulmonary veins, and aorta",,Q1758730
Liddle syndrome,リドル症候群,disease,病気,"genetic disorder inherited in an autosomal dominant manner that is characterized by early, and frequently severe, high blood pressure",,Q1823656
Leigh disease,亜急性壊死性脳脊髄障害,disease,病気,"mitochondrial metabolism disease characterized by progressive loss of mental and movement abilities. Symptoms usually begin between ages of three months and two years and include loss of appetite, vomiting, irritability and seizure activity",,Q1815019
erythropoietic protoporphyria,骨髄性プロトポルフィリン症,disease,病気,"acute porphyria characterized by a deficiency in the enzyme ferrochelatase, leading to abnormally high levels of protoporphyrin in the tissue",,Q1759600
congenital erythropoietic porphyria,先天性骨髄性ポルフィリン症,disease,病気,congenital human disease,,Q1759389
hyperekplexia,びっくり病,disease,病気,"nervous system disease characterized by an exaggerated startle response to sudden, unexpected auditory or tactile stimuli and hypertonia",不意をつく音や接触などにより筋痙攣・硬直が誘発される非常に稀な病気,Q1781802
Bardet-Biedl syndrome,バルデー・ビードル症候群,disease,病気,ciliopathic human genetic disorder that produces many effects and affects many body systems,,Q1678281
glycogen storage disease II,ポンペ病,disease,病気,human disease,,Q1365789
sick sinus syndrome,洞不全症候群,disease,病気,"group of abnormal heart rhythms (arrhythmias) presumably caused by a malfunction of the sinus node, the heart's primary pacemaker",,Q1757915
LEOPARD syndrome,LEOPARD症候群,disease,病気,"rare autosomal dominant,[3] multisystem disease caused by a mutation in the protein tyrosine phosphatase, non-receptor type 11 gene (PTPN11)",,Q1798016
Jacobsen syndrome,ヤコブセン症候群,disease,病気,"multiple congenital anomaly caused by deletion on chromosome 11, often featuring intellectual disabilities, dysmorphic features, delayed development and heart defects.",,Q1677755
Gitelman syndrome,ギテルマン症候群,disease,病気,Human disease,,Q1053120
ovarian hyperstimulation syndrome,卵巣過剰刺激症候群,disease,病気,human disease,,Q1760461
Charcot–Marie–Tooth disease,シャルコー・マリー・トゥース病,disease,病気,"neuromuscular disease that is characterized by a slowly progressive degeneration of the muscles of the foot, lower leg, hand and forearm",,Q1052687
fibrodysplasia ossificans progressiva,進行性骨化性線維異形成症,disease,病気,extremely rare connective tissue disease,,Q1410831
Sotos syndrome,ソトス症候群,disease,病気,autosomal recessive disease that occurs rarely and is characterized by excessive physical growth during the first 2 to 3 years of life,,Q1770836
adenosine deaminase deficiency,アデノシンデアミナーゼ欠損症,disease,病気,"severe combined immunodeficiency that is caused by a defective enzyme, adenosine deaminase (ADA), necessary for the breakdown of purines. Lack of ADA causes accumulation of dATP",,Q1055374
pilomatrixoma,毛母腫,disease,病気,Human disease,,Q1704531
Leber congenital amaurosis,レーバー先天性黒内障,disease,病気,"retinal disease that is characterized by nystagmus, sluggish or no pupillary responses, and severe vision loss or blindness",,Q1811132
Olmsted syndrome,オルムステッド症候群,disease,病気,human disease,,Q7088441
optic nerve hypoplasia,視神経低形成,disease,病気,human disease,,Q7098797
neutral lipid storage disease,中性脂質蓄積症,disease,病気,"lipid storage disease that is characterized by accumulation of triglycerides in the cytoplasm of leukocytes, muscle, liver, fibroblasts, and other tissues",,Q7003001
ornithine translocase deficiency,高オルニチン血症・高アンモニア血症・ホモシトルリン尿症症候群,disease,病気,amino acid metabolic disorder that has material basis in deficiency of ornithine translocase resulting in the accumulation of ammonia in the blood,,Q7103627
muscular disease,ミオパチー,disease,病気,"disease in which the muscle fibers do not function, resulting in muscular weakness",筋肉の疾患の総称,Q692536
juvenile rheumatoid arthritis,若年性特発性関節炎,disease,病気,rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located in joint,,Q861224
